seller_id,delivery_bucket,total_orders,good_reviews,bad_reviews,total_revenue
4a3ccda38b2129705f3fb522db62ca31,Early,66,48,14,14876.43
e2a1ac9bf33e5549a2a4f834e70df2f8,Early,5,5,0,14798.34
001cca7ae9ae17fb1caed9dfb1094831,Early,218,165,38,14783.18
8f2ce03f928b567e3d56181ae20ae952,Early,147,130,8,14753.99
44073f8b7e41514de3b7815dd0237f4f,Early,143,93,28,14622.29
1900267e848ceeba8fa32d80c1a5f5a8,Early,453,329,74,14563.18
a888faf2d1baececa6baf9c3d603ee1f,Early,46,39,4,14518.87
7ad32824caee82087b3e2e5f33b1bf32,Early,154,107,23,14509.22
9de4643a8dbde634fe55621059d92273,Early,74,69,2,14456.03
d650b663c3b5f6fb392b6326366efa9a,Early,49,42,2,14446.28
f457c46070d02cadd8a68551231220dd,Early,218,159,42,14393.34
897060da8b9a21f655304d50fd935913,Early,365,242,90,14380.78
004c9cd9d87a3c30c522c48c4fc07416,Early,153,122,14,14324.26
165fc07beebdcb6190fba8a06db2a449,Early,56,42,12,14237.75
8ae520247981aa06bc94abddf5f46d34,Early,62,55,6,14210.75
6061155addc1e54b4cfb51c1c2a32ad8,Early,34,33,1,13802.74
1f1bb1f0859883505541bdd6606193e5,Early,24,22,0,13796.3
c3acdfac4e3e97ff87529454fbc03642,Early,10,8,0,13754.04
527801b552d0077ffd170872eb49683b,Early,82,75,3,13683.09
f9244d45189d3a3605499abddeade7d5,Early,19,16,1,13663.79
d921b68bf747894be13a97ae52b0f386,Early,76,68,3,13543.08
2a5b78b41cd05baeac8df54c6606b92c,Early,54,42,4,13537.4
76d64c4aca3a7baf218bf93ef7fa768d,Early,68,54,10,13304.28
821fb029fc6e495ca4f08a35d51e53a5,Early,16,14,2,13301.29
abe42c5d03695b4257b5c6cbf4e6784e,Early,40,34,2,13145.22
1e8b33f18b4f7598d87f5cbee2282cc2,Early,126,107,17,13100.5
080199a181c46c657dc5aa235411be3b,Early,80,76,1,13029.79
c6bda72e4dbf5c5866b13cb1810c6d03,Early,58,52,3,12838.06
a5cba26a62b8b4d0145b68b841e62e7f,Early,53,48,1,12836.57
ef0ace09169ac090589d85746e3e036f,Early,127,108,10,12660.51
c847e075301870dd144a116762eaff9a,Early,38,33,4,12531.57
0c8380b62e38e8a1e6adbeba7eb9688c,Early,204,156,25,12454.42
229c3efbfb0ea2058de4ccdfbc3d784a,Early,138,96,33,12428.36
0adac9fbd9a2b63cccaac4f8756c1ca8,Early,126,91,8,12314.87
cd68562d3f44870c08922d380acae552,Early,102,84,9,12116.49
54a1852d1b8f10312c55e906355666ee,Early,179,162,8,12038.35
8cc6a0e5738e61a87b03c78b2ba9db4b,Early,22,19,0,11978.71
ed4acab38528488b65a9a9c603ff024a,Early,38,26,7,11883.29
34d1ca11b242c0fee2c834ae8d788566,Early,40,32,2,11881.56
86ccac0b835037332a596a33b6949ee1,Early,203,158,33,11685.9
729f06993dac8e860d4f02d7088ca48a,Early,101,90,3,11648.53
d2374cbcbb3ca4ab1086534108cc3ab7,Early,603,387,139,11483.02
240b9776d844d37535668549a396af32,Early,33,28,3,11472.58
0dd184061fb0eaa7ca37932c68ab91c5,Early,172,137,19,11338.86
01fdefa7697d26ad920e9e0346d4bd1b,Early,120,105,3,11305.57
b8bc237ba3788b23da09c0f1f3a3288c,Early,45,39,3,11295.01
e5a38146df062edaf55c38afa99e42dc,Early,112,86,17,11265.27
b372ee768ed69e46ca8cdbd267aa7a38,Early,69,58,7,11237.5
fbc14c0cf93505ef89f64665ffa4a7b5,Early,17,15,2,11155.22
4b9750c8ad28220fe6702d4ecb7c898f,Early,199,170,12,11103.7
2a84855fd20af891be03bc5924d2b453,Early,150,127,9,11042.59
ce248b21cb2adc36282ede306b7660e5,Early,58,52,3,10971.1
039e6ad9dae79614493083e241147386,Early,4,4,0,10966.56
c66dccfb3f109511246da627dd5a2498,Early,41,37,3,10890.69
bba3293d6f5d5af2f415e004e8b93ae3,Early,16,14,1,10857.81
fa40cc5b934574b62717c68f3d678b6d,Early,317,277,18,10773.98
e24fc9fcd865784fb25705606fe3dfe7,Early,50,42,3,10736.35
41b39e28db005d9731d9d485a83b4c38,Early,197,161,21,10707.51
ad97a199236354e53fcd91a5a913e9a2,Early,15,15,0,10699.01
d05ae8f7a5bd1d2a690a44cd079e4e27,Early,69,55,12,10693.28
5cf13accae3222c70a9cac40818ae839,Early,147,131,10,10674.38
72c5da29406b4234927b81855e7b64f6,Early,30,24,3,10658.92
