seller_id,delivery_bucket,total_orders,good_reviews,bad_reviews,total_revenue
bd4ff04377f974574f7f0bf9d6ce7dde,Slight Delay,1,0,1,23.25
259f7b5e6e482c230e5bfaa670b6bb8f,Slight Delay,1,0,1,23.3
2ff97219cb8622eaf3cd89b7d9c09824,Slight Delay,1,0,1,23.52
670c26e0f1bf8d0576271d5cfaec6d2b,Late,2,0,2,23.66
2646baaf662d4d92ac48f047e35db92d,Slight Delay,1,0,1,23.72
df683dfda87bf71ac3fc63063fba369d,Very Late,1,0,1,23.85
b18dc380845b24038cfc48006478f099,Late,1,0,1,24.49
6f1a1263039c76e68f40a8e536b1da6a,Very Late,1,0,1,24.75
0afccdb8a34ee5c79f7c06faf2b4d56e,Very Late,1,0,1,24.8
32f1bb9dfa65bc7df5c0d9d95a616be4,Slight Delay,2,0,2,25.0
f262cbc1c910c83959f849465454ddd3,Late,2,0,2,25.65
324583d68897f5ddbaf38f6248322176,Late,2,0,2,25.8
8bd0f31cf0a614c658f6763bd02dea69,Slight Delay,1,0,1,26.26
91f848e9f4be368f4318775aac733370,Slight Delay,1,0,1,26.27
8629a7efec1aab257e58cda559f03ba7,Very Late,1,0,1,26.33
7d76b645482be4a332374e8223836592,Late,5,1,4,26.68
10076e5788b8ee532724bcd460baf762,Late,1,0,1,26.95
b0b346d3a89f5eb4c2968af3f083cd43,Late,1,0,1,27.0
bd15ee794d5e640d9dd71b665b2ab15b,Late,1,0,1,27.03
2a61c271b1ac763450d846849783e922,Late,2,0,1,27.73
ec4608a1f76453166bb312b2968aeaf4,Very Late,3,0,2,27.77
827f8f69dfa529c561901c4f2e0f332f,Late,2,0,2,27.78
1464afc72f696af775557a821c2e253f,Late,1,0,1,27.8
553a440137d6e0cf776aee0bb83ac9f5,Slight Delay,1,0,1,28.03
e5bd51692380fd8cabb19b756b95e714,Very Late,1,0,1,28.05
2c3d56f92f360fb89d849b84e8f50eae,Slight Delay,1,0,1,28.39
95e03ca3d4146e4011985981aeb959b9,Very Late,1,0,1,28.85
6e0908ef4d4efadbc3cc2b74ea477cb0,Slight Delay,1,0,1,28.88
be8e909810184b9b19e886129149d8e5,Late,1,0,1,28.88
08ad4ac1388e4420ca531c3edfc46198,Very Late,1,0,1,28.98
6a8a889bde935bafa76d7848782dfaf9,Late,2,0,2,28.98
093805f8f2aeb63881444571e1f48f30,Slight Delay,1,0,1,29.08
d12c926d74ceff0a90a21184466ce161,Slight Delay,1,0,1,29.11
4e17c65a516f69d023a2ae78b84f28d6,Late,4,0,4,29.2
